USER           PID  PPID NAME                        ARGS                       
root          1186     2 [irq/96-arm-smmu-context-fault] [irq/96-arm-smmu-context-fault]
root          1188     2 [kworker/R-pmic_glink_rx]   [kworker/R-pmic_glink_rx]
root          1189     2 [kworker/R-pmic_glink_rx]   [kworker/R-pmic_glink_rx]
root          1192     2 [irq/97-arm-smmu-context-fault] [irq/97-arm-smmu-context-fault]
root          1194     2 [kworker/R-ipa_power_mgmt]  [kworker/R-ipa_power_mgmt]
root          1195     2 [kworker/R-transport_power_mgmt] [kworker/R-transport_power_mgmt]
root          1196     2 [kworker/R-page_recycle_stats_collection] [kworker/R-page_recycle_stats_collection]
root          1197     2 [kworker/R-ipa_pm_activate] [kworker/R-ipa_pm_activate]
root          1198     2 [kworker/R-ipa_usb_wq]      [kworker/R-ipa_usb_wq]
root          1199     2 [kworker/R-rmnet_ctlwq]     [kworker/R-rmnet_ctlwq]
root          1200     2 [kworker/R-rmnet_llwq]      [kworker/R-rmnet_llwq]
root          1205     2 [kworker/R-qcrypto_seq_response_wq] [kworker/R-qcrypto_seq_response_wq]
root          1206     2 [irq/330-q6v5 wdog]         [irq/330-q6v5 wdog]
root          1211     2 [irq/98-arm-smmu-context-fault] [irq/98-arm-smmu-context-fault]
root          1216     2 [irq/99-arm-smmu-context-fault] [irq/99-arm-smmu-context-fault]
root          1217     2 [kworker/R-policy_probe_wq] [kworker/R-policy_probe_wq]
root          1218     2 [irq/100-arm-smmu-context-fault] [irq/100-arm-smmu-context-fault]
root          1219     2 [irq/101-arm-smmu-context-fault] [irq/101-arm-smmu-context-fault]
root          1224     2 [irq/102-arm-smmu-context-fault] [irq/102-arm-smmu-context-fault]
root          1225     2 [kworker/R-byte-cntr]       [kworker/R-byte-cntr]
root          1226     2 [irq/103-arm-smmu-context-fault] [irq/103-arm-smmu-context-fault]
root          1228     2 [kworker/R-pm_workq]        [kworker/R-pm_workq]
root          1229     2 [kworker/R-batch_workq]     [kworker/R-batch_workq]
root          1230     2 [irq/340-msm-vidc]          [irq/340-msm-vidc]
root          1235     2 [irq/341-bcl-lvl1]          [irq/341-bcl-lvl1]
root          1240     2 [kworker/R-kgsl-workqueue]  [kworker/R-kgsl-workqueue]
root          1241     2 [irq/104-arm-smmu-context-fault] [irq/104-arm-smmu-context-fault]
root          1242     2 [kworker/R-kgsl-lockless-work] [kworker/R-kgsl-lockless-work]
